Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos
"2024-12-02 21:00","3556","5086","0","938","13923","7143","-377","-182","37","4","470","2241",
"2024-12-02 21:05","3508","5085","0","925","14367","6910","-813","-173","37","4","470","2236",
"2024-12-02 21:10","3448","5085","0","927","14499","6833","-746","-172","37","4","470","2237",
"2024-12-02 21:15","3442","5090","0","924","14447","6679","-606","-172","37","5","470","2235",
"2024-12-02 21:20","3422","5087","0","910","14548","6609","-892","-173","37","5","470","2183",
"2024-12-02 21:25","3378","5092","0","891","14578","6526","-894","-172","37","4","470","2224",
"2024-12-02 21:30","3376","5088","0","895","14510","6385","-820","-172","37","5","470","2239",
"2024-12-02 21:35","3348","5087","0","895","14336","6353","-855","-172","37","5","470","2241",
"2024-12-02 21:40","3251","5087","0","896","14315","6280","-859","-172","37","5","470","2232",
"2024-12-02 21:45","3143","5090","0","894","14036","6203","-495","-172","36","5","470","2236",
"2024-12-02 21:50","3113","5089","0","894","13641","6178","-638","-172","36","4","470","2241",
"2024-12-02 21:55","3111","5091","0","897","13470","5949","-759","-173","36","4","470","2240",
"2024-12-02 22:00","3088","5089","0","896","13161","5919","-784","-149","36","4","470","2234",
"2024-12-02 22:05","3042","5087","0","870","12649","6473","-861","-122","36","5","469","2243",
"2024-12-02 22:10","3055","5087","0","855","12469","6392","-846","-102","36","4","469","2244",
"2024-12-02 22:15","3092","5087","0","842","12313","6180","-789","-102","36","4","469","2243",
"2024-12-02 22:20","3105","5087","0","844","12297","6175","-900","-102","36","4","469","2232",
"2024-12-02 22:25","3116","5086","0","843","12184","5997","-803","-102","36","4","469","2202",
"2024-12-02 22:30","3133","5089","0","841","12117","5782","-810","-94","36","4","469","2235",
"2024-12-02 22:35","3142","5087","0","842","11975","5497","-782","-102","36","4","469","2244",
"2024-12-02 22:40","3183","5089","0","845","11980","5439","-899","-101","36","4","469","2244",
"2024-12-02 22:45","3227","5089","0","841","11857","5080","-765","-102","36","4","469","2247",
"2024-12-02 22:50","3257","5088","0","842","11674","4938","-815","-102","36","4","469","2244",
"2024-12-02 22:55","3265","5090","0","842","11565","4827","-750","-102","35","4","469","2248",
"2024-12-02 23:00","3258","5087","0","849","11519","4672","-869","-101","35","4","469","2244",
"2024-12-02 23:05","3293","5088","0","874","11325","4570","-955","-101","36","4","467","2248",
"2024-12-02 23:10","3276","5087","0","881","10952","4652","-813","-102","35","4","467","2241",
"2024-12-02 23:15","3291","5086","0","881","10740","4375","-646","-102","35","4","467","2238",
"2024-12-02 23:20","3237","5087","0","883","10765","4053","-520","-102","35","4","467","2238",
"2024-12-02 23:25","3181","5088","0","883","10746","4078","-662","-102","35","4","467","2237",
"2024-12-02 23:30","3161","5089","0","881","10481","4140","-658","-102","35","4","467","2236",
"2024-12-02 23:35","3133","5087","0","883","10292","4067","-696","-102","35","4","467","2237",
"2024-12-02 23:40","3142","5092","0","881","10183","3853","-581","-102","35","4","467","2239",
"2024-12-02 23:45","3142","5089","0","882","9924","3946","-775","-102","35","4","467","2242",
"2024-12-02 23:50","3104","5093","0","883","9774","3710","-569","-102","17","4","467","2203",
"2024-12-02 23:55","3069","5090","0","877","9635","3675","-499","-102","17","4","467","2241",
"2024-12-03 00:00","3093","5092","0","876","9827","3526","-717","-102","17","4","467","2230",
"2024-12-03 00:05","3149","5094","0","855","10160","3865","-1041","-102","17","4","472","2227",
"2024-12-03 00:10","3170","5089","0","830","10307","3729","-955","-102","17","4","472","2230",
"2024-12-03 00:15","3200","5087","0","800","10176","3678","-883","-102","17","4","472","2230",
"2024-12-03 00:20","3175","5092","0","787","10064","3452","-926","-102","17","4","472","2262",
"2024-12-03 00:25","3180","5086","0","794","9970","3263","-709","-102","17","4","472","2256",
"2024-12-03 00:30","3213","5088","0","798","9940","3225","-821","-102","17","4","472","2263",
"2024-12-03 00:35","3195","5090","0","794","9767","3070","-693","-102","17","4","472","2228",
"2024-12-03 00:40","3219","5087","0","798","9729","3284","-909","-102","17","4","472","2268",
"2024-12-03 00:45","3239","5091","0","797","9677","3030","-881","-101","17","4","472","2252",
"2024-12-03 00:50","3280","5087","0","795","9584","2801","-619","-102","17","4","472","2259",
"2024-12-03 00:55","3274","5089","0","797","9520","3013","-928","-101","17","4","472","2226",
"2024-12-03 01:00","3298","5090","0","796","9348","2606","-664","-97","17","4","472","2268",
"2024-12-03 01:05","3343","5086","0","775","9262","2283","-210","-92","17","4","474","2271",
"2024-12-03 01:10","3396","5088","0","751","9187","2244","-235","-87","17","4","474","2272",
"2024-12-03 01:15","3383","5090","0","735","8977","2159","-146","-82","17","4","474","2234",
"2024-12-03 01:20","3351","5094","0","713","8921","2161","-117","-82","17","4","474","2273",
"2024-12-03 01:25","3354","5089","0","692","8990","2225","-171","-82","17","4","474","2259",
"2024-12-03 01:30","3325","5089","0","684","8737","2268","-239","-82","17","4","474","2279",
"2024-12-03 01:35","3340","5089","0","684","8585","2206","-188","-82","17","4","474","2271",
"2024-12-03 01:40","3406","5087","0","681","8716","2224","-318","-82","17","4","474","2274",
"2024-12-03 01:45","3404","5089","0","681","8501","2080","-177","-82","17","4","474","2266",
"2024-12-03 01:50","3318","5088","0","676","8565","1998","-193","-82","17","4","474","2251",
"2024-12-03 01:55","3253","5089","0","669","8650","2126","-282","-82","17","4","474","2247",
"2024-12-03 02:00","3299","5090","0","664","8766","2041","-292","-82","17","4","474","2247",
"2024-12-03 02:05","3329","5091","0","666","8862","2108","-626","-82","17","4","474","2245",
"2024-12-03 02:10","3367","5088","0","661","8842","2022","-620","-81","17","4","474","2244",
"2024-12-03 02:15","3422","5091","0","646","8657","1909","-524","-82","17","4","474","2254",
"2024-12-03 02:20","3437","5090","0","642","8645","1864","-481","-82","17","4","474","2209",
"2024-12-03 02:25","3375","5090","0","640","8521","1733","-339","-82","17","4","474","2244",
"2024-12-03 02:30","3339","5090","0","627","8470","1855","-521","-82","17","4","474","2250",
"2024-12-03 02:35","3304","5092","0","601","8502","1882","-500","-82","17","4","474","2249",
"2024-12-03 02:40","3231","5092","0","571","8573","1856","-520","-82","17","4","474","2211",
"2024-12-03 02:45","3232","5094","0","516","8735","2002","-559","-82","17","4","474","2236",
"2024-12-03 02:50","3207","5092","0","515","8761","1860","-506","-82","17","4","474","2248",
"2024-12-03 02:55","3180","5094","0","515","8825","1906","-594","-82","17","4","474","2243",
"2024-12-03 03:00","3224","5089","0","516","8844","1576","-403","-82","17","5","474","2201",
"2024-12-03 03:05","3192","5093","0","517","8796","1624","-224","-82","17","3","471","2246",
"2024-12-03 03:10","3166","5092","0","512","8832","1626","-453","-82","17","4","471","2245",
"2024-12-03 03:15","3181","5093","0","491","8672","1625","-348","-82","17","4","471","2245",
"2024-12-03 03:20","3106","5092","0","477","8593","1599","-88","-82","17","4","471","2243",
"2024-12-03 03:25","3068","5091","0","462","8719","1657","-55","-82","17","3","471","2246",
"2024-12-03 03:30","3023","5092","0","459","8757","1675","-172","-81","17","4","471","2232",
"2024-12-03 03:35","3022","5090","0","462","8905","1713","-351","-82","17","4","471","2230",
"2024-12-03 03:40","3052","5089","0","461","8580","1628","-410","-82","17","4","471","2239",
"2024-12-03 03:45","3075","5090","0","462","8593","1628","-316","-82","17","4","471","2189",
"2024-12-03 03:50","3082","5093","0","459","8674","1680","-243","-82","17","4","471","2230",
"2024-12-03 03:55","3087","5091","0","460","8690","1632","-308","-82","17","4","471","2244",
"2024-12-03 04:00","3077","5090","0","457","8603","1647","-159","-82","17","4","471","2246",
"2024-12-03 04:05","3142","5087","0","458","8433","1710","-201","-82","17","4","476","2242",
"2024-12-03 04:10","3162","5092","0","459","8352","1646","-14","-82","17","4","476","2246",
"2024-12-03 04:15","3174","5092","0","457","8418","1710","-244","-82","17","4","476","2239",
"2024-12-03 04:20","3207","5089","0","450","8315","1686","-110","-82","17","4","476","2238",
"2024-12-03 04:25","3201","5088","0","453","8419","1705","-93","-82","17","4","476","2237",
"2024-12-03 04:30","3244","5089","0","454","8377","1634","-197","-82","17","4","476","2232",
"2024-12-03 04:35","3295","5090","0","453","8262","1613","-107","-82","17","4","476","2228",
"2024-12-03 04:40","3272","5090","0","452","8438","1716","-267","-82","17","4","476","2238",
"2024-12-03 04:45","3240","5092","0","435","8466","1697","-417","-82","17","4","476","2240",
"2024-12-03 04:50","3201","5091","0","418","8484","1720","-113","-82","17","4","476","2243",
"2024-12-03 04:55","3156","5090","0","398","8498","1730","-197","-82","17","4","476","2235",
"2024-12-03 05:00","3109","5092","0","411","8231","1810","358","-82","17","4","476","2240",
"2024-12-03 05:05","3095","5091","0","383","8335","1821","415","-82","17","4","472","2237",
"2024-12-03 05:10","3085","5091","0","329","8345","2039","505","-82","17","4","472","2201",
"2024-12-03 05:15","3030","5090","0","250","8658","1866","295","-82","17","4","472","2206",
"2024-12-03 05:20","2983","5091","0","250","8713","1697","320","-82","17","4","472","2197",
"2024-12-03 05:25","2951","5091","0","250","8760","1723","449","-82","17","4","472","2200",
"2024-12-03 05:30","2959","5089","0","251","8962","1689","275","-81","17","4","472","2158",
"2024-12-03 05:35","2927","5091","0","250","9198","1774","210","-82","17","4","472","2201",
"2024-12-03 05:40","2943","5092","0","250","9142","1774","297","-82","17","4","472","2200",
"2024-12-03 05:45","2931","5089","0","250","9299","1835","-122","-82","17","4","472","2196",
"2024-12-03 05:50","2883","5090","0","252","9534","1954","87","-82","17","4","472","2183",
"2024-12-03 05:55","2852","5092","0","253","9610","1967","22","-82","17","4","472","2201",
"2024-12-03 06:00","2821","5090","0","256","9502","2132","353","-82","17","4","472","2200",
