Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos
"2024-12-04 21:00","7105","5095","0","404","13177","6134","-878","-237","46","4","465","2086",
"2024-12-04 21:05","7121","5095","0","384","13151","5917","-841","-226","46","4","468","2084",
"2024-12-04 21:10","7242","5094","0","369","12883","6106","-575","-226","46","4","468","2080",
"2024-12-04 21:15","7296","5098","0","354","12804","5897","-459","-225","46","4","468","2061",
"2024-12-04 21:20","7345","5095","0","347","12623","5883","-477","-224","46","4","468","2078",
"2024-12-04 21:25","7419","5095","0","347","12623","5762","-474","-226","46","4","468","2068",
"2024-12-04 21:30","7439","5100","0","347","12636","5511","-578","-226","46","4","468","2072",
"2024-12-04 21:35","7560","5095","0","350","12540","5291","-589","-227","46","4","468","2077",
"2024-12-04 21:40","7605","5097","0","349","11383","5118","-636","-226","46","4","468","1888",
"2024-12-04 21:45","7718","5097","0","349","11122","4872","-406","-226","46","4","468","2068",
"2024-12-04 21:50","7757","5097","0","332","11837","4616","-285","-226","46","4","468","2085",
"2024-12-04 21:55","7817","5099","0","311","11651","4600","-421","-226","46","4","468","2078",
"2024-12-04 22:00","7903","5097","0","297","11580","4338","-491","-203","45","4","468","2037",
"2024-12-04 22:05","8042","5094","0","308","11673","4035","-537","-176","44","4","467","2059",
"2024-12-04 22:10","8105","5099","0","305","11543","3976","-692","-150","44","4","467","2058",
"2024-12-04 22:15","8201","5096","0","305","11358","3727","-616","-125","44","4","467","2059",
"2024-12-04 22:20","8335","5096","0","306","10851","3803","-533","-102","44","4","467","2057",
"2024-12-04 22:25","8518","5096","0","307","10452","3691","-636","-99","44","4","467","2053",
"2024-12-04 22:30","8639","5097","0","305","10007","3616","-639","-92","44","4","467","2049",
"2024-12-04 22:35","8805","5093","0","304","9672","3748","-614","-102","15","4","467","2050",
"2024-12-04 22:40","8832","5097","0","306","9579","3491","-549","-102","15","4","467","2053",
"2024-12-04 22:45","8850","5095","0","306","9272","3536","-551","-102","15","4","467","2012",
"2024-12-04 22:50","8806","5092","0","295","8602","3671","-5","-102","15","4","467","2049",
"2024-12-04 22:55","8888","5098","0","277","8669","3558","-456","-102","15","4","467","2049",
"2024-12-04 23:00","8992","5097","0","277","8566","3222","-385","-92","15","4","467","2053",
"2024-12-04 23:05","9576","5094","0","263","8716","2786","-944","-82","15","4","460","2016",
