Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos
"2024-12-03 21:00","8848","5088","0","438","12065","5943","-1738","-196","18","17","450","2078",
"2024-12-03 21:05","8880","5090","0","421","12000","5606","-1561","-179","13","17","451","2077",
"2024-12-03 21:10","8850","5087","0","405","11967","5561","-1494","-178","13","17","451","2043",
"2024-12-03 21:15","8867","5088","0","403","11891","5526","-1518","-178","13","17","451","2091",
"2024-12-03 21:20","8874","5090","0","405","11919","5505","-1550","-178","13","8","451","2096",
"2024-12-03 21:25","8862","5088","0","403","11869","5317","-1562","-178","12","4","451","2086",
"2024-12-03 21:30","8970","5089","0","405","11708","4994","-1410","-178","12","5","451","2050",
"2024-12-03 21:35","8933","5087","0","404","11648","4761","-1356","-178","12","5","451","2083",
"2024-12-03 21:40","8945","5092","0","404","11518","4528","-1267","-178","12","5","451","2076",
"2024-12-03 21:45","8953","5090","0","399","11454","4263","-1130","-178","12","4","451","2081",
"2024-12-03 21:50","8962","5093","0","385","11038","4218","-1166","-178","12","4","451","2079",
"2024-12-03 21:55","9104","5090","0","375","10796","4294","-1359","-178","12","4","451","2085",
"2024-12-03 22:00","9114","5090","0","376","10534","4365","-1554","-169","12","4","451","2090",
"2024-12-03 22:05","9820","5087","0","362","10014","4323","-2073","-158","12","4","451","2081",
"2024-12-03 22:10","9893","5087","0","354","9919","4270","-2286","-148","12","4","451","2093",
"2024-12-03 22:15","9843","5087","0","355","9830","4035","-2073","-138","12","4","451","2097",
"2024-12-03 22:20","9822","5090","0","355","9905","3787","-2133","-128","12","4","451","2095",
"2024-12-03 22:25","9705","5089","0","354","9871","3653","-2255","-117","12","4","451","2075",
"2024-12-03 22:30","9721","5090","0","354","9909","3407","-2338","-107","12","4","451","2093",
"2024-12-03 22:35","9669","5091","0","353","9782","3168","-2070","-102","12","4","451","2044",
"2024-12-03 22:40","9636","5091","0","354","9756","2869","-2010","-102","12","4","451","2092",
"2024-12-03 22:45","9555","5091","0","354","9551","2852","-1973","-101","12","4","451","2082",
"2024-12-03 22:50","9550","5089","0","353","9181","2862","-1836","-91","12","4","451","2087",
"2024-12-03 22:55","9566","5091","0","355","9162","2780","-1993","-81","12","4","451","2040",
"2024-12-03 23:00","9522","5093","0","353","8945","2536","-1754","-81","12","4","451","2078",
"2024-12-03 23:05","9178","5091","0","338","8403","2813","-1398","-82","12","4","444","2081",
"2024-12-03 23:10","9059","5088","0","318","8014","3038","-1278","-81","12","4","444","2078",
"2024-12-03 23:15","8981","5092","0","303","7930","2878","-1018","-81","12","4","444","2040",
"2024-12-03 23:20","9054","5091","0","301","7745","2581","-541","-81","12","4","444","2081",
"2024-12-03 23:25","9047","5086","0","300","7633","2430","-406","-81","12","4","444","2079",
"2024-12-03 23:30","9122","5088","0","298","7572","2295","-453","-81","12","4","444","2082",
"2024-12-03 23:35","9000","5089","0","298","7435","2266","-511","-82","12","4","444","2086",
"2024-12-03 23:40","9063","5090","0","299","7354","2239","-630","-81","12","4","444","2088",
"2024-12-03 23:45","9176","5090","0","298","7298","2211","-930","-81","12","4","444","2088",
"2024-12-03 23:50","9266","5090","0","298","7223","2099","-1027","-81","12","4","444","2083",
"2024-12-03 23:55","9368","5090","0","298","7087","1968","-957","-81","12","4","444","2090",
"2024-12-04 00:00","9242","5089","0","299","6548","1774","-364","-82","12","4","444","2085",
"2024-12-04 00:05","9560","5086","0","283","5325","1937","87","-82","12","4","402","2074",
"2024-12-04 00:10","9724","5093","0","257","5173","2111","54","-82","12","4","402","2075",
