Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos
"2024-12-05 21:00","9171","5091","0","306","8839","6136","99","-187","16","116","479","2187",
"2024-12-05 21:05","9191","5094","0","320","9087","6298","-504","-188","16","116","482","2152",
"2024-12-05 21:10","9146","5093","0","342","9026","6302","-299","-187","16","115","482","2181",
"2024-12-05 21:15","9091","5094","0","357","8873","6071","-398","-187","16","116","492","2181",
"2024-12-05 21:20","9132","5096","0","363","8815","5886","-136","-187","16","116","501","2181",
"2024-12-05 21:25","9099","5093","0","363","8904","5938","-90","-187","16","116","501","2187",
"2024-12-05 21:30","9030","5094","0","364","8863","5825","-102","-187","16","116","501","2185",
"2024-12-05 21:35","9063","5092","0","364","8811","5686","-355","-187","16","116","501","2191",
"2024-12-05 21:40","9119","5096","0","364","8739","5534","-257","-183","16","116","501","2189",
"2024-12-05 21:45","9130","5097","0","364","8711","5298","-266","-173","16","116","501","2184",
"2024-12-05 21:50","9223","5093","0","362","8722","5028","-354","-169","16","116","501","2191",
"2024-12-05 21:55","9290","5097","0","362","8651","4683","-201","-169","16","116","501","2175",
"2024-12-05 22:00","9320","5094","0","363","8442","4614","-393","-144","16","116","501","2175",
"2024-12-05 22:05","9401","5093","0","343","8130","4739","-651","-118","16","117","500","2178",
"2024-12-05 22:10","9416","5095","0","327","8065","4665","-609","-94","16","116","500","2133",
"2024-12-05 22:15","9417","5095","0","305","7925","4408","-449","-102","16","116","500","2174",
"2024-12-05 22:20","9416","5096","0","292","7990","4316","-555","-102","16","116","500","2179",
"2024-12-05 22:25","9383","5094","0","273","7916","4098","-682","-102","16","117","500","2180",
"2024-12-05 22:30","9336","5095","0","253","7878","3971","-771","-102","16","117","500","2181",
"2024-12-05 22:35","9399","5092","0","249","7772","3771","-598","-102","16","117","500","2175",
"2024-12-05 22:40","9407","5094","0","249","7750","3762","-624","-102","16","117","500","2177",
"2024-12-05 22:45","9444","5097","0","249","7610","3491","-561","-102","16","116","500","2170",
"2024-12-05 22:50","9375","5096","0","249","7462","3425","-346","-102","16","117","500","2171",
"2024-12-05 22:55","9342","5096","0","250","7451","3330","-298","-102","16","106","500","2131",
"2024-12-05 23:00","9317","5096","0","249","7210","3180","-294","-92","16","106","500","2166",
"2024-12-05 23:05","9431","5096","0","249","6921","3341","-535","-82","16","106","501","2163",
"2024-12-05 23:10","9521","5097","0","250","6563","3308","-599","-82","16","106","501","2173",
"2024-12-05 23:15","9600","5098","0","249","6289","3028","-455","-82","15","106","501","2147",
"2024-12-05 23:20","9642","5096","0","249","5849","3338","-419","-82","16","106","501","2182",
"2024-12-05 23:25","9770","5099","0","250","5814","3285","-378","-82","16","106","501","2187",
"2024-12-05 23:30","9751","5094","0","251","5690","3020","-388","-82","15","106","500","2177",
"2024-12-05 23:35","9808","5095","0","250","5500","2928","-388","-82","15","106","499","2174",
"2024-12-05 23:40","9823","5097","0","249","5419","2898","-536","-82","15","110","499","2185",
"2024-12-05 23:45","9861","5095","0","249","5193","2784","-330","-82","15","109","499","2191",
"2024-12-05 23:50","9845","5095","0","249","5126","2694","-257","-82","15","107","499","2184",
"2024-12-05 23:55","9875","5097","0","249","5032","2509","-232","-82","15","109","499","2166",
"2024-12-06 00:00","9935","5093","0","249","5036","2531","-504","-82","15","110","499","2172",
"2024-12-06 00:05","10254","5094","0","249","5085","2909","-1193","-82","15","110","500","2160",
"2024-12-06 00:10","10243","5096","0","249","5194","2854","-1230","-82","15","109","500","2142",
"2024-12-06 00:15","10265","5098","0","249","4848","2614","-836","-82","15","110","500","2141",
"2024-12-06 00:20","10250","5099","0","249","4772","2688","-1162","-82","15","111","500","2131",
"2024-12-06 00:25","10267","5100","0","249","4524","2665","-929","-82","15","110","500","2138",
"2024-12-06 00:30","10223","5097","0","249","4396","2593","-947","-82","15","111","497","2139",
"2024-12-06 00:35","10171","5097","0","248","4265","2435","-973","-82","15","110","500","2147",
"2024-12-06 00:40","10202","5100","0","249","4047","2285","-859","-82","15","110","500","2111",
"2024-12-06 00:45","10151","5099","0","251","4002","2122","-484","-82","15","111","495","2149",
"2024-12-06 00:50","10212","5099","0","249","3979","2029","-636","-82","15","111","494","2140",
"2024-12-06 00:55","10224","5099","0","249","3970","1872","-733","-82","15","110","494","2148",
"2024-12-06 01:00","10227","5098","0","249","3910","1785","-898","-82","15","111","499","2136",
"2024-12-06 01:05","10730","5101","0","248","3798","1675","-996","-82","15","111","488","2118",
"2024-12-06 01:10","10783","5100","0","249","3793","1626","-1192","-82","15","111","488","2118",
"2024-12-06 01:15","10800","5098","0","249","3632","1459","-950","-82","15","111","488","2117",
"2024-12-06 01:20","10824","5098","0","248","3478","1380","-900","-81","15","110","488","2119",
"2024-12-06 01:25","10805","5098","0","248","3586","1407","-1171","-82","15","111","488","2112",
"2024-12-06 01:30","10731","5097","0","248","3273","1211","-732","-81","15","111","488","2116",
"2024-12-06 01:35","10721","5097","0","249","3481","1042","-1008","-82","15","110","488","2121",
