Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos
"2024-12-06 21:00","8888","5093","0","283","5725","5807","-205","-139","111","62","507","1948",
"2024-12-06 21:05","8854","5096","0","269","5788","5695","-260","-125","110","60","507","1951",
"2024-12-06 21:10","8805","5097","0","249","5811","5675","-307","-125","110","53","507","1946",
"2024-12-06 21:15","8787","5095","0","248","5818","5623","-109","-125","110","49","507","1951",
"2024-12-06 21:20","8673","5091","0","248","5969","5619","-289","-125","110","49","507","1948",
"2024-12-06 21:25","8608","5095","0","247","6015","5550","-469","-125","110","50","507","1944",
"2024-12-06 21:30","8552","5094","0","247","5927","5367","-233","-125","110","50","507","1954",
"2024-12-06 21:35","8577","5096","0","249","5854","5359","-193","-125","110","43","507","1949",
"2024-12-06 21:40","8587","5093","0","248","5834","5413","-225","-125","110","35","507","1950",
"2024-12-06 21:45","8599","5093","0","248","5751","5366","-86","-125","111","36","507","1951",
"2024-12-06 21:50","8683","5095","0","248","5677","5416","-337","-125","110","36","507","1946",
"2024-12-06 21:55","8691","5093","0","249","5628","5291","-196","-125","110","35","507","1949",
"2024-12-06 22:00","8641","5090","0","249","5599","5001","23","-125","110","35","507","1948",
"2024-12-06 22:05","8571","5088","0","249","5466","5156","-177","-125","110","35","507","1954",
"2024-12-06 22:10","8545","5092","0","251","5325","5130","-4","-125","110","30","507","1948",
"2024-12-06 22:15","8546","5100","0","249","5281","4822","177","-125","110","25","507","1944",
"2024-12-06 22:20","8540","5093","0","249","5124","4854","24","-125","110","24","507","1907",
"2024-12-06 22:25","8572","5094","0","249","4999","4704","102","-124","110","24","507","1945",
"2024-12-06 22:30","8584","5094","0","249","4807","4648","313","-113","110","24","507","1945",
"2024-12-06 22:35","8600","5095","0","250","4633","4575","418","-91","110","25","507","1945",
"2024-12-06 22:40","8645","5095","0","250","4628","4648","109","-81","110","25","507","1941",
"2024-12-06 22:45","8685","5095","0","249","4675","4607","8","-81","110","25","507","1943",
"2024-12-06 22:50","8686","5095","0","250","4619","4494","-13","-81","110","25","507","1941",
"2024-12-06 22:55","8633","5096","0","250","4525","4553","-101","-81","110","25","507","1938",
"2024-12-06 23:00","8630","5096","0","250","4660","4236","-162","-82","110","24","507","1942",
"2024-12-06 23:05","8774","5097","0","250","4912","3967","-306","-81","110","25","503","1904",
"2024-12-06 23:10","8753","5093","0","250","4940","3758","-108","-82","110","24","503","1927",
"2024-12-06 23:15","8715","5097","0","251","4371","3797","-169","-82","110","25","503","1926",
"2024-12-06 23:20","8716","5100","0","249","4185","3594","74","-82","12","26","503","1935",
"2024-12-06 23:25","8731","5097","0","250","4139","3686","-106","-82","12","26","503","1894",
"2024-12-06 23:30","8775","5092","0","250","4161","3398","-226","-82","12","26","503","1935",
"2024-12-06 23:35","8766","5096","0","250","4050","3420","-110","-82","12","26","503","1930",
"2024-12-06 23:40","8738","5093","0","250","4002","3330","-58","-82","12","26","503","1914",
"2024-12-06 23:45","8739","5092","0","250","3826","3136","-74","-82","12","26","503","1900",
"2024-12-06 23:50","8706","5093","0","250","3715","3189","-44","-82","12","25","503","1880",
"2024-12-06 23:55","8697","5095","0","250","3817","3177","-265","-82","12","26","503","1850",
"2024-12-07 00:00","8654","5098","0","250","3678","3033","273","-91","12","25","503","1725",
"2024-12-07 00:05","8764","5092","0","250","3622","3258","419","-101","11","23","476","1592",
"2024-12-07 00:10","8850","5097","0","250","3515","3363","137","-102","11","22","476","1500",
"2024-12-07 00:15","8901","5097","0","250","3476","2818","740","-101","9","20","476","1483",
"2024-12-07 00:20","8978","5096","0","250","3370","2571","1000","-102","9","18","476","1458",
"2024-12-07 00:25","9125","5095","0","250","3305","2707","654","-102","8","17","476","1433",
"2024-12-07 00:30","9221","5094","0","250","3220","2446","509","-102","7","15","476","1414",
"2024-12-07 00:35","9317","5095","0","250","3159","2323","562","-102","6","14","476","1405",
"2024-12-07 00:40","9313","5098","0","250","3161","1945","556","-102","6","12","476","1385",
"2024-12-07 00:45","9361","5097","0","250","3034","1946","580","-102","6","11","467","1389",
"2024-12-07 00:50","8731","5097","0","250","3050","2037","1088","-101","6","11","467","1389",
"2024-12-07 00:55","8776","5093","0","250","3210","2068","709","-102","6","11","467","1388",
"2024-12-07 01:00","8825","5094","0","250","3430","1913","323","-102","6","11","467","1376",
"2024-12-07 01:05","9187","5097","0","250","3600","1489","78","-102","6","11","473","1361",
"2024-12-07 01:10","9552","5094","0","250","3334","1220","408","-102","6","11","473","1365",
"2024-12-07 01:15","9691","5099","0","250","3396","1257","97","-102","6","11","477","1364",
"2024-12-07 01:20","9622","5094","0","250","3254","1210","-45","-102","6","11","477","1365",
"2024-12-07 01:25","9613","5095","0","250","3097","1142","-23","-102","6","11","477","1366",
"2024-12-07 01:30","9683","5095","0","250","3047","1056","83","-102","6","11","477","1364",
"2024-12-07 01:35","9718","5098","0","249","3118","815","181","-102","6","11","477","1364",
"2024-12-07 01:40","9712","5099","0","251","3097","890","130","-102","6","11","477","1371",
