Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos
"2024-12-09 21:00","13446","5105","0","331","6582","6805","65","-184","19","96","496","1866",
"2024-12-09 21:05","13412","5100","0","316","6533","6955","-120","-173","19","95","492","1866",
"2024-12-09 21:10","13411","5101","0","304","6533","7078","-35","-174","19","95","492","1868",
"2024-12-09 21:15","13371","5102","0","307","6471","6871","-74","-173","19","95","492","1874",
"2024-12-09 21:20","13336","5097","0","307","6493","6876","-118","-173","19","96","492","1874",
"2024-12-09 21:25","13303","5101","0","308","6528","6841","-156","-173","19","97","492","1836",
"2024-12-09 21:30","13229","5103","0","307","6507","6577","-86","-173","19","96","492","1873",
"2024-12-09 21:35","13243","5100","0","307","6506","6481","-254","-174","19","93","492","1869",
"2024-12-09 21:40","13148","5101","0","307","6503","6245","-73","-174","19","86","492","1872",
"2024-12-09 21:45","13059","5103","0","304","6423","6015","-16","-173","19","86","492","1835",
"2024-12-09 21:50","12977","5098","0","301","6392","5783","-5","-174","19","86","492","1879",
"2024-12-09 21:55","12896","5102","0","298","6290","5580","-3","-173","19","86","492","1875",
"2024-12-09 22:00","12890","5104","0","295","6271","5621","-560","-150","18","85","492","1876",
"2024-12-09 22:05","12921","5103","0","279","6369","5903","-1133","-123","18","83","493","1872",
"2024-12-09 22:10","12845","5102","0","275","6435","5759","-1137","-98","18","79","493","1873",
"2024-12-09 22:15","12751","5105","0","275","6364","5389","-889","-101","18","78","493","1879",
"2024-12-09 22:20","12730","5102","0","275","6174","5263","-972","-102","18","76","493","1872",
"2024-12-09 22:25","12774","5104","0","277","6258","5248","-999","-102","18","65","493","1878",
"2024-12-09 22:30","12650","5103","0","275","6179","5212","-1105","-102","18","60","493","1880",
"2024-12-09 22:35","12622","5103","0","275","5987","5186","-1098","-101","18","61","493","1873",
"2024-12-09 22:40","12599","5101","0","276","5929","5114","-1155","-102","18","63","493","1881",
"2024-12-09 22:45","12563","5100","0","275","5813","4776","-1053","-102","18","62","493","1882",
"2024-12-09 22:50","12478","5098","0","279","5678","4610","-931","-102","18","42","493","1842",
"2024-12-09 22:55","12316","5101","0","275","5620","4493","-843","-101","18","53","493","1885",
"2024-12-09 23:00","12235","5100","0","275","5272","4844","-1072","-102","18","55","493","1881",
"2024-12-09 23:05","12128","5105","0","285","4695","5052","-1038","-102","18","55","493","1869",
"2024-12-09 23:10","12090","5104","0","285","4395","5641","-1388","-102","18","55","493","1829",
"2024-12-09 23:15","12087","5104","0","286","4269","5768","-1662","-102","18","54","493","1876",
"2024-12-09 23:20","11994","5103","0","286","4231","5678","-1654","-102","18","54","493","1873",
"2024-12-09 23:25","11946","5105","0","286","4124","5660","-1688","-102","18","54","493","1873",
"2024-12-09 23:30","11833","5103","0","286","4091","5506","-1554","-102","18","54","493","1867",
"2024-12-09 23:35","11875","5101","0","276","4159","5220","-1683","-101","18","54","493","1872",
"2024-12-09 23:40","11773","5103","0","276","4159","5174","-1693","-102","18","54","493","1868",
"2024-12-09 23:45","11601","5104","0","278","4087","4860","-1419","-101","18","55","493","1870",
"2024-12-09 23:50","11634","5102","0","275","4088","4585","-1447","-102","18","34","493","1872",
"2024-12-09 23:55","11556","5103","0","277","3907","4461","-1318","-102","18","39","493","1872",
