Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2024-12-01 01:00","6388","5091","0","422","4291","742","-92","72","22","488","2168","0","-64","-1733","0","2553","0","0","13","1915",
"2024-12-01 01:05","6411","5088","0","422","4311","759","-82","72","21","489","2144","0","0","-1630","0","2346","0","30","13","1969",
"2024-12-01 01:10","6432","5090","0","423","4293","804","-82","72","20","489","2141","0","0","-1632","0","2282","0","118","13","1928",
"2024-12-01 01:15","6440","5095","0","420","4236","671","-82","72","10","489","2138","0","0","-1644","0","2147","0","110","13","1776",
"2024-12-01 01:20","6437","5094","0","421","4160","928","-82","72","17","489","2135","0","0","-1665","0","2435","0","168","13","1754",
"2024-12-01 01:25","6387","5092","0","422","4148","1022","-82","72","15","489","2130","0","0","-1729","0","2627","0","137","13","1782",
"2024-12-01 01:30","6344","5094","0","420","4124","1106","-82","72","13","489","2131","0","0","-1818","0","2684","0","252","12","1771",
"2024-12-01 01:35","6278","5095","0","420","4286","781","-82","72","12","489","2137","0","0","-1679","0","2394","0","78","12","1893",
"2024-12-01 01:40","6212","5092","0","421","4187","977","-82","72","10","489","2140","0","0","-1732","0","2660","0","78","12","1834",
"2024-12-01 01:45","6145","5091","0","421","4081","1051","-82","72","11","489","2139","0","0","-1777","0","2755","0","86","12","1744",
"2024-12-01 01:50","6153","5088","0","421","4023","961","-82","72","11","489","2096","0","0","-1756","0","2611","0","98","12","1746",
"2024-12-01 01:55","6114","5092","0","418","4026","1047","-82","72","11","489","2139","0","0","-1715","0","2613","0","161","12","1700",
"2024-12-01 02:00","6099","5094","0","419","3998","1028","-82","72","12","489","2127","0","0","-1707","0","2515","0","176","12","1664",
"2024-12-01 02:05","6032","5094","0","420","4206","1011","-82","72","12","489","2143","0","0","-1854","0","2627","0","250","11","1683",
"2024-12-01 02:10","6024","5093","0","418","4257","962","-82","72","12","489","2096","0","0","-1696","0","2438","0","169","11","1632",
"2024-12-01 02:15","5976","5088","0","418","4236","935","-82","72","12","489","2141","0","0","-1815","0","2567","0","212","11","1634",
"2024-12-01 02:20","5894","5088","0","418","4158","1056","-82","72","12","489","2138","0","0","-1772","0","2514","0","327","11","1620",
"2024-12-01 02:25","5806","5093","0","418","4110","1076","-82","72","12","489","2140","0","0","-1808","0","2826","0","90","11","1545",
"2024-12-01 02:30","5736","5091","0","419","4158","1135","-82","72","11","489","2141","0","0","-1767","0","2777","0","118","11","1594",
"2024-12-01 02:35","5708","5094","0","417","4445","831","-82","72","11","489","2138","0","0","-1700","0","2432","0","111","11","1657",
"2024-12-01 02:40","5598","5092","0","418","4282","1009","-82","72","11","489","2139","0","0","-1662","0","2537","0","143","11","1580",
"2024-12-01 02:45","5511","5094","0","418","4137","1024","-82","72","11","489","2138","0","0","-1795","0","2570","0","236","11","1582",
"2024-12-01 02:50","5419","5090","0","418","4133","1175","-82","72","11","489","2136","0","0","-1697","0","2621","0","261","11","1624",
"2024-12-01 02:55","5363","5094","0","418","4181","1110","-82","72","11","489","2136","0","0","-1719","0","2673","0","168","11","1640",
"2024-12-01 03:00","5324","5094","0","418","4456","914","-82","72","11","489","2140","0","0","-1771","0","2469","0","228","11","1671",
"2024-12-01 03:05","5280","5092","0","416","4550","925","-82","72","11","488","2139","0","0","-1746","0","2436","0","215","11","1622",
"2024-12-01 03:10","5261","5094","0","416","4223","929","-82","72","11","488","2135","0","0","-1804","0","2458","0","324","11","1495",
"2024-12-01 03:15","5207","5088","0","416","4251","909","-82","72","11","488","2144","0","0","-1726","0","2446","0","200","11","1587",
"2024-12-01 03:20","5088","5091","0","418","4310","1018","-82","72","11","488","2144","0","0","-1813","0","2604","0","249","11","1613",
"2024-12-01 03:25","5007","5089","0","418","4519","846","-82","72","11","488","2133","0","0","-1885","0","2690","0","52","11","1623",
"2024-12-01 03:30","4954","5089","0","419","4435","1164","-82","72","11","488","2140","0","0","-1796","0","2751","0","208","11","1519",
"2024-12-01 03:35","4940","5092","0","419","4583","990","-82","72","11","488","2103","0","0","-1851","0","2647","0","174","11","1608",
"2024-12-01 03:40","4945","5088","0","418","4489","1013","-82","72","11","488","2133","0","0","-1809","0","2554","0","286","11","1535",
"2024-12-01 03:45","4967","5090","0","420","4426","833","-82","72","11","488","2130","0","0","-1741","0","2376","0","205","11","1496",
"2024-12-01 03:50","4952","5089","0","419","4401","869","-82","72","11","488","2134","0","0","-1848","0","2541","0","188","11","1533",
"2024-12-01 03:55","4948","5092","0","417","4378","1010","-82","72","11","488","2089","0","0","-1788","0","2653","0","166","11","1515",
"2024-12-01 04:00","4972","5092","0","418","4273","1062","-82","72","11","487","2128","0","0","-1719","0","2659","0","136","11","1499",
"2024-12-01 04:05","4949","5089","0","419","4257","1224","-82","72","11","486","2137","0","0","-1313","0","2440","0","126","11","1521",
"2024-12-01 04:10","4955","5087","0","416","4246","1135","-82","72","11","486","2134","0","0","-1271","0","2244","0","173","11","1533",
"2024-12-01 04:15","4900","5087","0","417","4220","1131","-82","72","10","486","2135","0","0","-1176","0","2181","0","147","11","1552",
"2024-12-01 04:20","4847","5090","0","418","4138","1378","-82","72","10","486","2133","0","0","-1214","0","2383","0","221","11","1498",
"2024-12-01 04:25","4825","5089","0","417","4126","1379","-82","72","10","486","2129","0","0","-1249","0","2405","0","234","11","1570",
"2024-12-01 04:30","4768","5088","0","414","4110","1348","-82","72","10","486","2138","0","0","-1241","0","2386","0","241","10","1554",
"2024-12-01 04:35","4769","5087","0","418","4110","1256","-82","72","10","486","2132","0","0","-1137","0","2144","0","273","10","1547",
"2024-12-01 04:40","4656","5089","0","418","4102","1262","-82","72","10","486","2094","0","0","-1177","0","2257","0","192","10","1580",
"2024-12-01 04:45","4617","5092","0","418","4092","1363","-82","72","10","486","2136","0","0","-1176","0","2401","0","144","11","1543",
"2024-12-01 04:50","4388","5093","0","417","4121","1592","-82","72","11","486","2111","0","0","-958","0","2437","0","123","11","1573",
"2024-12-01 04:55","4466","5089","0","418","4116","1487","-82","72","10","486","2115","0","0","-1104","0","2472","0","130","11","1590",
"2024-12-01 05:00","4491","5091","0","416","4128","1566","-82","72","11","486","2074","0","0","-1236","0","2674","0","140","11","1608",
"2024-12-01 05:05","4444","5096","0","417","4152","1363","-82","72","10","487","2106","0","0","-1201","0","2459","0","110","11","1661",
"2024-12-01 05:10","4366","5096","0","418","4151","1585","-82","72","10","487","2106","0","0","-1166","0","2544","0","218","11","1655",
"2024-12-01 05:15","4394","5097","0","419","4156","1667","-82","72","11","487","2102","0","0","-1169","0","2668","0","179","11","1667",
"2024-12-01 05:20","4319","5096","0","417","4142","1497","-82","72","11","487","2072","0","0","-1249","0","2688","0","99","11","1665",
"2024-12-01 05:25","4292","5095","0","417","4259","1571","-82","72","11","487","2097","0","0","-1194","0","2700","0","76","11","1683",
"2024-12-01 05:30","4239","5088","0","417","4376","1540","-81","72","11","487","2097","0","0","-1180","0","2670","0","62","11","1680",
"2024-12-01 05:35","4217","5092","0","417","4355","1617","-82","72","11","487","2097","0","0","-1186","0","2694","0","122","11","1673",
"2024-12-01 05:40","4274","5089","0","418","4356","1470","-82","72","11","487","2098","0","0","-1141","0","2473","0","150","11","1671",
"2024-12-01 05:45","4314","5091","0","419","4410","1584","-82","72","11","487","2101","0","0","-1176","0","2657","0","116","11","1714",
"2024-12-01 05:50","4319","5092","0","419","4441","1391","-82","72","11","487","2099","0","0","-1132","0","2409","0","125","11","1709",
"2024-12-01 05:55","4315","5093","0","416","4437","1459","-81","72","11","487","2101","0","0","-1224","0","2470","0","204","11","1717",
"2024-12-01 06:00","4288","5094","0","417","4376","1521","-91","72","11","487","2098","0","0","-1210","0","2590","0","152","11","1697",
"2024-12-01 06:05","4251","5093","0","417","4307","1560","-101","72","11","486","2106","0","0","-1089","0","2538","0","122","11","1612",
"2024-12-01 06:10","4195","5091","0","419","4377","1664","-102","72","11","486","2119","0","0","-969","0","2624","0","36","11","1731",
"2024-12-01 06:15","4181","5089","0","415","4380","1657","-101","72","11","467","2116","0","0","-967","0","2670","0","0","11","1760",
"2024-12-01 06:20","4219","5091","0","417","4355","1769","-102","72","11","467","2114","0","0","-958","0","2599","0","147","11","1752",
"2024-12-01 06:25","4185","5090","0","418","4324","1724","-102","72","11","467","2109","0","0","-1073","0","2699","0","124","11","1764",
"2024-12-01 06:30","4164","5095","0","418","4471","1606","-101","72","11","473","2105","0","0","-1002","0","2451","0","165","12","1775",
"2024-12-01 06:35","4132","5094","0","416","4650","1550","-102","72","11","486","2106","0","0","-1090","0","2418","0","168","12","1788",
"2024-12-01 06:40","4094","5093","0","419","4691","1575","-102","72","11","486","2109","0","0","-1001","0","2413","0","181","12","1744",
"2024-12-01 06:45","4151","5090","0","418","4685","1511","-102","72","11","479","2074","0","0","-1060","0","2423","0","161","12","1763",
